City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Río Gallegos,-51.6226,-69.2181,55.45,67,0,4.61,AR,01/10/2023
Carutapera,-1.195,-46.02,77.0,87,100,6.76,BR,01/10/2023
Sioux Lookout,50.1001,-91.917,26.67,100,100,5.75,CA,01/10/2023
Mayo,38.8876,-76.5119,39.51,82,0,0.0,US,01/10/2023
Magnor,59.9511,12.1996,37.13,97,100,15.26,SE,01/10/2023
Rocha,-34.4833,-54.3333,61.68,95,23,4.72,UY,01/10/2023
Los Llanos de Aridane,28.6585,-17.9182,60.55,80,100,10.0,ES,01/10/2023
Andijan,40.7821,72.3442,22.28,86,100,4.61,UZ,01/10/2023
Sambava,-14.2667,50.1667,76.51,84,98,3.67,MG,01/10/2023
Torbay,47.6666,-52.7314,25.57,89,75,4.61,CA,01/10/2023
Natal,-5.795,-35.2094,77.22,83,40,4.61,BR,01/10/2023
Olinda,-8.0089,-34.8553,80.33,74,40,6.91,BR,01/10/2023
Giresun Province,40.5,38.5,12.72,50,11,5.73,TR,01/10/2023
Tsimmerbude,54.675,20.1347,37.45,93,53,10.18,RU,01/10/2023
Yulara,-25.2406,130.9889,93.25,31,66,6.62,AU,01/10/2023
Pisco,-13.7,-76.2167,68.05,88,0,0.0,PE,01/10/2023
Caruray,10.3094,119.0128,82.6,71,99,2.15,PH,01/10/2023
Ostercappeln,52.35,8.2333,49.05,91,100,21.63,DE,01/10/2023
Bataiporã,-22.2953,-53.2711,70.79,91,100,4.12,BR,01/10/2023
Reyes,-14.3167,-67.3833,73.06,98,100,1.12,BO,01/10/2023
Stornoway,58.2093,-6.3865,42.76,84,75,19.57,GB,01/10/2023
Yaan,7.3833,8.5667,71.06,26,13,6.96,NG,01/10/2023
Geghamasar,40.3109,45.6792,6.33,88,48,7.76,AM,01/10/2023
Malinyi,-8.9333,36.1333,68.85,97,85,0.98,TZ,01/10/2023
Mtwara,-10.2667,40.1833,76.33,94,20,11.5,TZ,01/10/2023
Valparaíso,-33.0393,-71.6273,62.24,88,0,5.75,CL,01/10/2023
Miasskoye,55.2784,61.8905,0.88,85,99,18.05,RU,01/10/2023
Sivas Province,39.7916,37.0019,23.63,68,0,10.36,TR,01/10/2023
Olafsvik,64.8945,-23.7142,34.05,80,100,24.65,IS,01/10/2023
Jørpeland,59.0225,6.0408,48.02,87,100,19.28,NO,01/10/2023
Roseburg,43.2165,-123.3417,50.38,69,75,5.75,US,01/10/2023
Roald,62.5833,6.1333,41.92,87,100,19.57,NO,01/10/2023
General Roca,-39.0333,-67.5833,70.63,18,57,16.84,AR,01/10/2023
Isla Mujeres,21.2311,-86.731,69.85,70,11,10.63,MX,01/10/2023
Plettenberg Bay,-34.0527,23.3716,67.08,89,10,1.77,ZA,01/10/2023
Saýat,38.7839,63.8803,15.3,64,0,9.62,TM,01/10/2023
Huarmey,-10.0681,-78.1522,69.46,79,99,5.5,PE,01/10/2023
Klaksvík,62.2266,-6.589,41.92,96,100,27.6,FO,01/10/2023
Tuatapere,-46.1333,167.6833,60.06,59,2,9.06,NZ,01/10/2023
Nome,64.5011,-165.4064,12.27,92,100,8.05,US,01/10/2023
Sisimiut,66.9395,-53.6735,0.57,90,34,9.89,GL,01/10/2023
Dryden,49.7833,-92.7503,28.69,93,100,6.91,CA,01/10/2023
Biltine,14.5333,20.9167,60.35,30,20,9.64,TD,01/10/2023
São Filipe,14.8961,-24.4956,74.35,71,0,10.74,CV,01/10/2023
Kaduqli,11.0167,29.7167,65.44,23,72,12.17,SD,01/10/2023
Aitape,-3.1374,142.3475,82.72,79,76,3.69,PG,01/10/2023
Marzuq,14.4,46.4667,63.12,51,37,2.59,YE,01/10/2023
Maniwaki,46.3834,-75.966,3.58,85,27,4.61,CA,01/10/2023
Bangui,4.3612,18.555,69.75,26,30,4.47,CF,01/10/2023
Trincomalee,8.5711,81.2335,77.83,63,78,10.67,LK,01/10/2023
Uvat,59.1433,68.8953,4.91,95,100,7.29,RU,01/10/2023
Dudinka,69.4058,86.1778,-25.28,97,100,7.52,RU,01/10/2023
Tanout,14.9709,8.8879,53.42,31,0,14.0,NE,01/10/2023
Andros Town,24.7,-77.7667,64.36,67,23,4.76,BS,01/10/2023
Dingle,10.9995,122.6711,74.59,91,100,11.34,PH,01/10/2023
Vila Velha,-20.3297,-40.2925,76.95,93,20,5.75,BR,01/10/2023
Walvis Bay,-22.9575,14.5053,65.08,82,100,2.3,NA,01/10/2023
Kuching,1.55,110.3333,88.02,77,40,3.0,MY,01/10/2023
‘Āhuimanu,21.4447,-157.8378,80.31,69,20,9.22,US,01/10/2023
Bubaque,11.2833,-15.8333,78.06,56,100,13.58,GW,01/10/2023
Aklavik,68.2191,-135.0107,-23.31,99,100,2.1,CA,01/10/2023
Faya,18.3851,42.4509,46.51,74,1,3.51,SA,01/10/2023
Bariloche,-41.1456,-71.3082,42.55,45,0,8.05,AR,01/10/2023
Shache,38.4167,77.2406,26.71,32,91,2.57,CN,01/10/2023
San Andrés,12.5847,-81.7006,80.62,78,20,11.5,CO,01/10/2023
San Jerónimo,-11.9472,-75.2829,47.66,84,85,2.89,PE,01/10/2023
Tingi,-11.3,35.0333,62.29,91,55,3.38,TZ,01/10/2023
Kozhevnikovo,56.2589,83.9714,-28.97,97,98,5.82,RU,01/10/2023
Aksu,41.1231,80.2644,30.94,37,100,3.31,CN,01/10/2023
Senador José Porfírio,-2.5908,-51.9542,72.3,97,90,2.1,BR,01/10/2023
Nanortalik,60.1432,-45.2371,25.88,79,100,5.68,GL,01/10/2023
Am Timan,11.0297,20.2827,65.25,26,94,5.59,TD,01/10/2023
Tura,25.5198,90.2201,70.83,40,0,1.66,IN,01/10/2023
Payo,-3.7508,103.6372,89.17,55,87,2.04,ID,01/10/2023
Charleston,32.7766,-79.9309,53.02,91,0,3.44,US,01/10/2023
Bela Palanka,43.2183,22.3111,36.48,100,100,2.93,RS,01/10/2023
Rūdbār,30.15,62.6,31.98,59,96,21.25,AF,01/10/2023
Lékoni,-1.5843,14.2591,73.13,78,80,4.09,GA,01/10/2023
Uvira,-3.4067,29.1458,69.91,95,100,3.6,CD,01/10/2023
Kodinsk,58.6881,99.1844,-20.38,94,97,6.4,RU,01/10/2023
Port Moresby,-9.4431,147.1797,89.02,58,40,17.27,PG,01/10/2023
Benjamin Constant,-4.3831,-70.0311,75.33,97,82,1.16,BR,01/10/2023
Uusikaupunki,60.8004,21.4084,36.14,94,95,13.8,FI,01/10/2023
Oskarshamn,57.2645,16.4484,42.98,85,100,18.05,SE,01/10/2023
Alice Springs,-23.7,133.8833,90.95,40,75,4.61,AU,01/10/2023
Kuybyshevo,47.8123,38.9073,11.89,73,15,20.83,RU,01/10/2023
Ukholovo,53.7929,40.4892,3.49,77,99,15.41,RU,01/10/2023
Adrar,20.5022,-10.0711,60.69,12,99,12.44,MR,01/10/2023
Parchim,53.4263,11.8488,42.71,88,100,17.63,DE,01/10/2023
Ngunguru,-35.6167,174.5,67.35,76,33,21.0,NZ,01/10/2023
Mount Darwin,-16.7725,31.5838,65.89,96,84,1.21,ZW,01/10/2023
Oyama,36.3,139.8,46.63,27,0,1.36,JP,01/10/2023
Kalachinsk,55.0529,74.5751,-25.64,100,93,4.5,RU,01/10/2023
Bathsheba,13.2167,-59.5167,79.41,78,75,13.8,BB,01/10/2023
San Vicente,-26.6167,-54.1333,62.26,97,16,2.21,AR,01/10/2023
Chumphon,10.3333,98.8333,86.14,49,62,2.98,TH,01/10/2023
Vyazemskiy,47.5378,134.7525,20.07,80,100,3.06,RU,01/10/2023
Quang Ngai,15.1167,108.8,73.08,90,100,3.24,VN,01/10/2023
San Lazaro,18.0387,-88.6622,69.26,95,0,3.0,BZ,01/10/2023
Jennings,38.7192,-90.2604,50.92,72,100,9.22,US,01/10/2023
Nānākuli,21.3906,-158.1547,80.55,56,0,13.8,US,01/10/2023
Santa Isabel Rio Negro,-0.4139,-65.0192,72.84,99,100,2.53,BR,01/10/2023
Orangeburg,33.4918,-80.8557,46.69,75,0,0.0,US,01/10/2023
Huilong,31.8111,121.655,53.13,74,0,9.33,CN,01/10/2023
Port Macquarie,-31.4333,152.9167,77.9,57,16,11.88,AU,01/10/2023
Khovd,48.0056,91.6419,21.83,63,11,7.0,MN,01/10/2023
Broken Hill,-31.95,141.4333,93.02,15,100,10.56,AU,01/10/2023
Gairo,39.8497,9.5047,42.01,72,0,6.29,IT,01/10/2023
Geraldton,-28.7667,114.6,79.21,47,0,14.97,AU,01/10/2023
Gimbi,9.1667,35.8333,53.38,62,51,1.72,ET,01/10/2023
Galesong,-5.3166,119.3661,86.02,69,95,6.51,ID,01/10/2023
Fare,-16.7,-151.0167,78.98,78,100,6.93,PF,01/10/2023
Moose Factory,51.2585,-80.6094,1.4,85,100,3.44,CA,01/10/2023
Bethanien,-26.502,17.1583,74.26,29,62,0.76,NA,01/10/2023
The Pas,53.8251,-101.2541,14.02,85,100,4.61,CA,01/10/2023
Najrān,17.4924,44.1277,54.25,74,0,3.44,SA,01/10/2023
Tegul'det,57.3064,88.1667,-21.77,95,100,6.51,RU,01/10/2023
Ternate,0.8,127.4,82.44,75,97,6.35,ID,01/10/2023
Dawei,14.0833,98.2,87.06,53,10,2.82,MM,01/10/2023
Stolin,51.8912,26.846,28.96,97,100,8.75,BY,01/10/2023
Oktyabr'skiy,54.4815,53.471,-19.19,100,51,5.06,RU,01/10/2023
Senj,44.9894,14.9058,45.27,72,6,6.04,HR,01/10/2023
Baffa,34.4378,73.2194,48.56,81,100,4.03,PK,01/10/2023
Haukipudas,65.1765,25.3523,14.05,97,99,4.74,FI,01/10/2023
Concepción del Oro,24.6333,-101.4167,52.3,29,0,1.92,MX,01/10/2023
Grindavik,63.8424,-22.4338,34.27,80,40,11.5,IS,01/10/2023
Santa Rosa,14.3122,121.1114,86.11,65,51,11.59,PH,01/10/2023
Båtsfjord,70.6345,29.7185,22.93,93,40,28.77,NO,01/10/2023
Grand-Lahou,5.1367,-5.0242,77.16,89,47,1.97,CI,01/10/2023
Coyhaique,-45.5752,-72.0662,47.01,100,100,4.61,CL,01/10/2023
Taunggyi,20.7833,97.0333,67.77,34,0,3.94,MM,01/10/2023
Kuçovë,40.8003,19.9167,44.74,83,19,1.7,AL,01/10/2023
Lompoc,34.6391,-120.4579,53.78,92,20,3.44,US,01/10/2023
Kristinestad,62.2743,21.376,34.11,94,100,15.66,FI,01/10/2023
Rizhao,35.4275,119.4553,45.68,64,13,8.59,CN,01/10/2023
Isangel,-19.55,169.2667,80.62,68,74,6.6,VU,01/10/2023
Samarai,-10.6167,150.6667,81.79,76,100,4.29,PG,01/10/2023
Taoudenni,22.6783,-3.9836,61.95,14,100,11.88,ML,01/10/2023
Hūn,29.1268,15.9477,50.0,78,8,6.91,LY,01/10/2023
Nola,40.922,14.5329,51.39,82,11,4.72,IT,01/10/2023
Ishigaki,24.3448,124.1572,75.33,60,75,16.11,JP,01/10/2023
Nicoya,10.1483,-85.452,72.99,81,28,6.15,CR,01/10/2023
Southbridge,42.0751,-72.0334,30.04,71,100,5.01,US,01/10/2023
Redlands,34.0556,-117.1825,51.57,90,100,1.01,US,01/10/2023
Kyabé,9.4515,18.9449,68.23,24,93,5.82,TD,01/10/2023
Touros,-5.1989,-35.4608,78.1,75,6,9.86,BR,01/10/2023
Drăgăneşti,45.7833,27.4667,45.63,78,100,15.43,RO,01/10/2023
Iskateley,67.6803,53.1512,4.68,94,100,14.7,RU,01/10/2023
Inhambane,-23.865,35.3833,75.18,83,20,9.22,MZ,01/10/2023
Puerto del Rosario,28.5004,-13.8627,67.75,73,40,11.5,ES,01/10/2023
Vestmanna,62.1564,-7.1664,40.12,81,100,12.66,FO,01/10/2023
Raja,8.4596,25.678,62.28,30,50,4.29,SS,01/10/2023
Fortuna,40.5982,-124.1573,48.54,95,75,11.5,US,01/10/2023
Coahuayana Viejo,18.7333,-103.6833,69.37,84,0,4.12,MX,01/10/2023
Nishihara,26.1842,127.7558,73.06,58,75,18.41,JP,01/10/2023
Coquimbo,-29.9533,-71.3436,64.13,88,0,3.44,CL,01/10/2023
Guhāgar,17.4842,73.1929,78.37,24,5,3.42,IN,01/10/2023
Teknāf,20.8624,92.3058,75.52,46,0,5.08,BD,01/10/2023
Erftstadt,50.8167,6.7667,52.36,86,100,18.99,DE,01/10/2023
Tommot,58.9564,126.2925,5.5,89,100,6.82,RU,01/10/2023
Menongue,-14.6585,17.691,63.36,95,100,4.21,AO,01/10/2023
Port Hardy,50.6996,-127.4199,42.98,93,75,4.61,CA,01/10/2023
Turukhansk,65.8167,87.9833,-38.79,95,100,5.68,RU,01/10/2023
Nemuro,43.3236,145.575,29.03,55,80,14.36,JP,01/10/2023
Lincoln,40.8,-96.667,42.3,71,0,3.44,US,01/10/2023
Cam Ranh,11.9214,109.1591,82.36,69,20,8.05,VN,01/10/2023
Mishan,45.55,131.8833,22.5,82,100,5.59,CN,01/10/2023
Dorogobuzh,54.915,33.2972,14.52,92,100,14.54,RU,01/10/2023
Goygol,40.5869,46.3158,26.11,93,100,6.91,AZ,01/10/2023
Quirinópolis,-18.4483,-50.4517,68.29,93,92,4.43,BR,01/10/2023
Binucayan,8.25,125.7167,80.35,93,86,2.93,PH,01/10/2023
Bisert',56.8617,59.0523,-6.25,96,100,10.54,RU,01/10/2023
Rio Claro,-22.4114,-47.5614,67.77,95,100,3.78,BR,01/10/2023
Linköping,58.4109,15.6216,39.18,91,100,16.11,SE,01/10/2023
